,Parameter_combo,AP_val,AP_rank,AUC_val,AUC_rank,AP_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.4113739163895341,26.0,0.7984451037830628,30.0,0.8898811770005705,0.9775793474294051
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.3793893525788484,30.0,0.8023098265530142,29.0,0.883625511388876,0.9772945544545547
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.43444392634636736,25.0,0.8413510957506193,19.0,0.45742468112978274,0.8504015675613439
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.41027686923744633,27.0,0.8380927266730158,22.0,0.43741071459145897,0.8489021919763285
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.4003327779501118,28.0,0.7853924005463191,32.0,0.9755206043215439,0.9982020935769375
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.36755514191246663,31.0,0.7881813244829935,31.0,0.9796998168160216,0.9984925919199804
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.38925187310243997,29.0,0.8100497465312495,27.0,0.9817769094985068,0.9992443728963201
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.3402822227643138,32.0,0.8080097205154054,28.0,0.9820335964499018,0.9992415857850134
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.48831166667846765,2.0,0.8525498096447792,12.0,0.9329674840213887,0.9851506938287514
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.46492290453999696,13.0,0.8495499814442783,16.0,0.9300148737445717,0.985541439043792
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.4724187350411633,8.0,0.855619429715088,7.0,0.5032017285783299,0.8649000667469035
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.45514678943942344,19.0,0.8523213247375113,13.0,0.4857612402325257,0.8633230491885666
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.47188921360750463,9.0,0.833930327994307,26.0,0.9929664449707758,0.9995530336444608
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.4462846120185332,21.0,0.8368350822831896,23.0,0.9941822092391405,0.999633960075264
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.4747071377976656,5.0,0.8647738755731379,2.0,0.995764009487118,0.999807255140514
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.4587357928856249,16.0,0.8625575275524092,4.0,0.9957978809570405,0.9998089567124342
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.49098863189165765,1.0,0.851013723151384,14.0,0.9349583268714065,0.9855573645390201
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.46954375222635814,11.0,0.8535088943644605,11.0,0.9309710828996082,0.9858088895215817
18,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.4730805796699601,6.0,0.8562863768672233,6.0,0.5049502027157001,0.8651696802228628
19,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.4619396984292773,15.0,0.8545861217647438,9.0,0.4896457065007169,0.8645527866980635
20,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.4726410790729851,7.0,0.8405567906546575,20.0,0.9932583259967803,0.999571264967614
21,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'gini'}",0.4559689285002456,18.0,0.8400927583157665,21.0,0.9948104638836189,0.9996724626783353
22,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy'}",0.4856817571546378,3.0,0.8656299445667162,1.0,0.9974532152519197,0.9998847288915423
23,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'gini'}",0.4586000011556539,17.0,0.8641836892626862,3.0,0.9977287744838101,0.9998964424418711
24,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.477936206316069,4.0,0.8426857849070271,18.0,0.9281229410580636,0.9842425657958203
25,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.44241200008139425,23.0,0.8469281308867984,17.0,0.9253411707001965,0.984343086834473
26,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'entropy'}",0.47031606123154773,10.0,0.8547795661091009,8.0,0.5004949103976764,0.8626102084760334
27,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'gini'}",0.45461716122008333,20.0,0.8497990332795751,15.0,0.4817311061099058,0.8608791042010889
28,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'entropy'}",0.46310421911933825,14.0,0.8339987397930634,25.0,0.9913487997518327,0.9994356702386902
29,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'gini'}",0.44458043048625323,22.0,0.8354947144568504,24.0,0.9935848054155972,0.9995932509293312
30,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.46922786343211714,12.0,0.854560121914015,10.0,0.9934814345585662,0.9997084991317651
31,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'gini'}",0.4414752424869725,24.0,0.8571762169303162,5.0,0.9931612066583682,0.9996963587847643
