,Parameter_combo,AP_val,AP_rank,AUC_val,AUC_rank,AP_train,AUC_train
0,"{'kernel': 'linear', 'C': 0.01}",0.5083242327017761,3.0,0.8636917217061358,9.0,0.512262882406303,0.864964587930126
1,"{'kernel': 'linear', 'C': 0.1}",0.5020679231403352,6.0,0.8766137333320951,2.0,0.5111705592311467,0.881076999004439
2,"{'kernel': 'linear', 'C': 0.25}",0.5032774596685893,5.0,0.8770089798342814,1.0,0.5119198222276208,0.88414923544512
3,"{'kernel': 'linear', 'C': 0.5}",0.5047232124074821,4.0,0.8744082649144838,4.0,0.5143967041848356,0.8855563707341304
4,"{'kernel': 'linear', 'C': 1}",0.509736025100191,1.0,0.8754760213299655,3.0,0.5197764889088827,0.8855143523823795
5,"{'kernel': 'linear', 'C': 2}",0.5094775669365,2.0,0.8712468707211349,6.0,0.5243018012897027,0.8865906400864303
6,"{'kernel': 'rbf', 'C': 0.01}",0.4749361208183926,7.0,0.8627915291324829,10.0,0.47019064446679854,0.8624932851031788
7,"{'kernel': 'rbf', 'C': 0.1}",0.4238229565664448,10.0,0.8714327096272036,5.0,0.4370484418800738,0.8843299564411411
8,"{'kernel': 'rbf', 'C': 0.25}",0.42459471730950327,9.0,0.8686920233440953,7.0,0.45156044728840156,0.8929273007617655
9,"{'kernel': 'rbf', 'C': 0.5}",0.42925256078128177,8.0,0.8640738041361891,8.0,0.4712542009973466,0.9000930230160913
10,"{'kernel': 'rbf', 'C': 1}",0.4235243583901581,11.0,0.8576283677603019,11.0,0.48834266693759437,0.9085037029407177
11,"{'kernel': 'rbf', 'C': 2}",0.41685943521370733,12.0,0.8526051911652064,12.0,0.5145152311189559,0.9172184508979739
