08/22/2022 15:26:38 MDT Started script...
08/22/2022 15:26:38 MDT Device: cpu
08/22/2022 15:26:38 MDT Fold 1
08/22/2022 15:26:38 MDT Fold 1; Rep 1
08/22/2022 15:26:38 MDT Data loaded.
08/22/2022 15:26:38 MDT Data loaded.
08/22/2022 15:26:38 MDT Epoch 1
08/22/2022 15:26:38 MDT Batch 1
08/22/2022 15:26:39 MDT Batch 2
08/22/2022 15:26:39 MDT Batch 3
08/22/2022 15:26:39 MDT Batch 4
08/22/2022 15:26:39 MDT Batch 5
08/22/2022 15:26:39 MDT Batch 6
08/22/2022 15:26:39 MDT Batch 7
08/22/2022 15:26:39 MDT Batch 8
08/22/2022 15:26:39 MDT Batch 9
08/22/2022 15:26:40 MDT Batch 10
08/22/2022 15:26:40 MDT Batch 11
08/22/2022 15:26:41 MDT EPOCH #1: TRAIN AP 0.261051, VAL AP 0.234353, TRAIN TIME 0m 1.684340s, VAL TIME 0m 1.161956s
08/22/2022 15:26:41 MDT Epoch 2
08/22/2022 15:26:41 MDT Batch 1
08/22/2022 15:26:41 MDT Batch 2
08/22/2022 15:26:41 MDT Batch 3
08/22/2022 15:26:41 MDT Batch 4
08/22/2022 15:26:41 MDT Batch 5
08/22/2022 15:26:41 MDT Batch 6
08/22/2022 15:26:42 MDT Batch 7
08/22/2022 15:26:42 MDT Batch 8
08/22/2022 15:26:42 MDT Batch 9
08/22/2022 15:26:42 MDT Batch 10
08/22/2022 15:26:42 MDT Batch 11
08/22/2022 15:26:43 MDT EPOCH #2: TRAIN AP 0.253619, VAL AP 0.237252, TRAIN TIME 0m 1.104490s, VAL TIME 0m 0.917522s
08/22/2022 15:26:43 MDT Epoch 3
08/22/2022 15:26:43 MDT Batch 1
08/22/2022 15:26:43 MDT Batch 2
08/22/2022 15:26:43 MDT Batch 3
08/22/2022 15:26:43 MDT Batch 4
08/22/2022 15:26:43 MDT Batch 5
08/22/2022 15:26:44 MDT Batch 6
08/22/2022 15:26:44 MDT Batch 7
08/22/2022 15:26:44 MDT Batch 8
08/22/2022 15:26:44 MDT Batch 9
08/22/2022 15:26:44 MDT Batch 10
08/22/2022 15:26:44 MDT Batch 11
08/22/2022 15:26:45 MDT EPOCH #3: TRAIN AP 0.264038, VAL AP 0.269475, TRAIN TIME 0m 1.173175s, VAL TIME 0m 0.884019s
08/22/2022 15:26:45 MDT Epoch 4
08/22/2022 15:26:45 MDT Batch 1
08/22/2022 15:26:45 MDT Batch 2
08/22/2022 15:26:45 MDT Batch 3
08/22/2022 15:26:45 MDT Batch 4
08/22/2022 15:26:45 MDT Batch 5
08/22/2022 15:26:46 MDT Batch 6
08/22/2022 15:26:46 MDT Batch 7
08/22/2022 15:26:46 MDT Batch 8
08/22/2022 15:26:46 MDT Batch 9
08/22/2022 15:26:46 MDT Batch 10
08/22/2022 15:26:46 MDT Batch 11
08/22/2022 15:26:47 MDT EPOCH #4: TRAIN AP 0.248783, VAL AP 0.227670, TRAIN TIME 0m 1.205375s, VAL TIME 0m 0.885655s
08/22/2022 15:26:47 MDT Epoch 5
08/22/2022 15:26:47 MDT Batch 1
08/22/2022 15:26:47 MDT Batch 2
08/22/2022 15:26:47 MDT Batch 3
08/22/2022 15:26:47 MDT Batch 4
08/22/2022 15:26:48 MDT Batch 5
08/22/2022 15:26:48 MDT Batch 6
08/22/2022 15:26:48 MDT Batch 7
08/22/2022 15:26:48 MDT Batch 8
08/22/2022 15:26:48 MDT Batch 9
08/22/2022 15:26:48 MDT Batch 10
08/22/2022 15:26:48 MDT Batch 11
08/22/2022 15:26:49 MDT EPOCH #5: TRAIN AP 0.247859, VAL AP 0.211911, TRAIN TIME 0m 1.160425s, VAL TIME 0m 0.864474s
08/22/2022 15:26:49 MDT Epoch 6
08/22/2022 15:26:49 MDT Batch 1
08/22/2022 15:26:49 MDT Batch 2
08/22/2022 15:26:49 MDT Batch 3
08/22/2022 15:26:49 MDT Batch 4
