08/22/2022 22:53:28 MDT Started script...
08/22/2022 22:53:28 MDT Device: cpu
08/22/2022 22:53:28 MDT BATCH SIZE: 128
08/22/2022 22:53:28 MDT LR: 0.000010
08/22/2022 22:53:28 MDT Fold 1
08/22/2022 22:53:28 MDT Fold 1; Rep 1
08/22/2022 22:53:28 MDT Data loaded.
08/22/2022 22:53:28 MDT Data loaded.
08/22/2022 22:53:28 MDT Epoch 1
08/22/2022 22:53:28 MDT Batch 1
08/22/2022 22:53:28 MDT Batch 2
08/22/2022 22:53:29 MDT Batch 3
08/22/2022 22:53:29 MDT Batch 4
08/22/2022 22:53:29 MDT Batch 5
08/22/2022 22:53:29 MDT Batch 6
08/22/2022 22:53:29 MDT Batch 7
08/22/2022 22:53:30 MDT Batch 8
08/22/2022 22:53:30 MDT Batch 9
08/22/2022 22:53:30 MDT Batch 10
08/22/2022 22:53:30 MDT Batch 11
08/22/2022 22:53:30 MDT Batch 12
08/22/2022 22:53:31 MDT Batch 13
08/22/2022 22:53:31 MDT Batch 14
08/22/2022 22:53:31 MDT Batch 15
08/22/2022 22:53:31 MDT Batch 16
08/22/2022 22:53:31 MDT Batch 17
08/22/2022 22:53:32 MDT Batch 18
08/22/2022 22:53:32 MDT Batch 19
08/22/2022 22:53:32 MDT Batch 20
08/22/2022 22:53:32 MDT Batch 21
08/22/2022 22:53:32 MDT Batch 22
08/22/2022 22:53:33 MDT Batch 23
08/22/2022 22:53:33 MDT Batch 24
08/22/2022 22:53:33 MDT Batch 25
08/22/2022 22:53:33 MDT Batch 26
08/22/2022 22:53:33 MDT Batch 27
08/22/2022 22:53:34 MDT Batch 28
08/22/2022 22:53:34 MDT Batch 29
08/22/2022 22:53:34 MDT Batch 30
08/22/2022 22:53:34 MDT Batch 31
08/22/2022 22:53:34 MDT Batch 32
08/22/2022 22:53:35 MDT Batch 33
08/22/2022 22:53:35 MDT Batch 34
08/22/2022 22:53:35 MDT Batch 35
08/22/2022 22:53:35 MDT Batch 36
08/22/2022 22:53:35 MDT Batch 37
08/22/2022 22:53:36 MDT Batch 38
08/22/2022 22:53:36 MDT Batch 39
08/22/2022 22:53:36 MDT Batch 40
08/22/2022 22:53:36 MDT Batch 41
08/22/2022 22:53:36 MDT Batch 42
08/22/2022 22:53:37 MDT Batch 43
08/22/2022 22:53:37 MDT Batch 44
08/22/2022 22:53:37 MDT Batch 45
08/22/2022 22:53:46 MDT EPOCH #1: TRAIN AP 0.074046, VAL AP 0.062034, TRAIN TIME 0m 9.187896s, VAL TIME 0m 8.442289s
08/22/2022 22:53:46 MDT Epoch 2
08/22/2022 22:53:46 MDT Batch 1
08/22/2022 22:53:46 MDT Batch 2
08/22/2022 22:53:46 MDT Batch 3
08/22/2022 22:53:46 MDT Batch 4
08/22/2022 22:53:46 MDT Batch 5
08/22/2022 22:53:46 MDT Batch 6
08/22/2022 22:53:47 MDT Batch 7
08/22/2022 22:53:47 MDT Batch 8
08/22/2022 22:53:47 MDT Batch 9
08/22/2022 22:53:47 MDT Batch 10
08/22/2022 22:53:47 MDT Batch 11
08/22/2022 22:53:48 MDT Batch 12
08/22/2022 22:53:48 MDT Batch 13
08/22/2022 22:53:48 MDT Batch 14
08/22/2022 22:53:48 MDT Batch 15
08/22/2022 22:53:48 MDT Batch 16
08/22/2022 22:53:49 MDT Batch 17
08/22/2022 22:53:49 MDT Batch 18
08/22/2022 22:53:49 MDT Batch 19
08/22/2022 22:53:49 MDT Batch 20
08/22/2022 22:53:49 MDT Batch 21
08/22/2022 22:53:49 MDT Batch 22
08/22/2022 22:53:50 MDT Batch 23
08/22/2022 22:53:50 MDT Batch 24
08/22/2022 22:53:50 MDT Batch 25
08/22/2022 22:53:50 MDT Batch 26
08/22/2022 22:53:50 MDT Batch 27
08/22/2022 22:53:51 MDT Batch 28
08/22/2022 22:53:51 MDT Batch 29
08/22/2022 22:53:51 MDT Batch 30
08/22/2022 22:53:51 MDT Batch 31
08/22/2022 22:53:51 MDT Batch 32
08/22/2022 22:53:52 MDT Batch 33
08/22/2022 22:53:52 MDT Batch 34
08/22/2022 22:53:52 MDT Batch 35
08/22/2022 22:53:52 MDT Batch 36
08/22/2022 22:53:52 MDT Batch 37
08/22/2022 22:53:52 MDT Batch 38
08/22/2022 22:53:53 MDT Batch 39
08/22/2022 22:53:53 MDT Batch 40
08/22/2022 22:53:53 MDT Batch 41
08/22/2022 22:53:53 MDT Batch 42
08/22/2022 22:53:53 MDT Batch 43
08/22/2022 22:53:54 MDT Batch 44
08/22/2022 22:53:54 MDT Batch 45
08/22/2022 22:54:03 MDT EPOCH #2: TRAIN AP 0.138017, VAL AP 0.088768, TRAIN TIME 0m 8.347403s, VAL TIME 0m 9.106279s
08/22/2022 22:54:03 MDT Epoch 3
08/22/2022 22:54:03 MDT Batch 1
08/22/2022 22:54:03 MDT Batch 2
08/22/2022 22:54:03 MDT Batch 3
08/22/2022 22:54:04 MDT Batch 4
08/22/2022 22:54:04 MDT Batch 5
08/22/2022 22:54:04 MDT Batch 6
08/22/2022 22:54:04 MDT Batch 7
08/22/2022 22:54:04 MDT Batch 8
08/22/2022 22:54:05 MDT Batch 9
08/22/2022 22:54:05 MDT Batch 10
08/22/2022 22:54:05 MDT Batch 11
08/22/2022 22:54:05 MDT Batch 12
08/22/2022 22:54:05 MDT Batch 13
08/22/2022 22:54:05 MDT Batch 14
08/22/2022 22:54:06 MDT Batch 15
08/22/2022 22:54:06 MDT Batch 16
08/22/2022 22:54:06 MDT Batch 17
08/22/2022 22:54:06 MDT Batch 18
08/22/2022 22:54:06 MDT Batch 19
08/22/2022 22:54:07 MDT Batch 20
08/22/2022 22:54:07 MDT Batch 21
08/22/2022 22:54:07 MDT Batch 22
08/22/2022 22:54:07 MDT Batch 23
08/22/2022 22:54:07 MDT Batch 24
08/22/2022 22:54:08 MDT Batch 25
08/22/2022 22:54:08 MDT Batch 26
08/22/2022 22:54:08 MDT Batch 27
08/22/2022 22:54:08 MDT Batch 28
08/22/2022 22:54:09 MDT Batch 29
08/22/2022 22:54:09 MDT Batch 30
08/22/2022 22:54:09 MDT Batch 31
08/22/2022 22:54:09 MDT Batch 32
08/22/2022 22:54:09 MDT Batch 33
08/22/2022 22:54:10 MDT Batch 34
08/22/2022 22:54:10 MDT Batch 35
08/22/2022 22:54:10 MDT Batch 36
08/22/2022 22:54:10 MDT Batch 37
08/22/2022 22:54:10 MDT Batch 38
08/22/2022 22:54:10 MDT Batch 39
08/22/2022 22:54:11 MDT Batch 40
08/22/2022 22:54:11 MDT Batch 41
08/22/2022 22:54:11 MDT Batch 42
08/22/2022 22:54:11 MDT Batch 43
08/22/2022 22:54:12 MDT Batch 44
08/22/2022 22:54:12 MDT Batch 45
08/22/2022 22:54:21 MDT EPOCH #3: TRAIN AP 0.164973, VAL AP 0.201311, TRAIN TIME 0m 8.963912s, VAL TIME 0m 9.335977s
08/22/2022 22:54:21 MDT Epoch 4
08/22/2022 22:54:21 MDT Batch 1
08/22/2022 22:54:22 MDT Batch 2
08/22/2022 22:54:22 MDT Batch 3
08/22/2022 22:54:22 MDT Batch 4
08/22/2022 22:54:22 MDT Batch 5
08/22/2022 22:54:22 MDT Batch 6
08/22/2022 22:54:23 MDT Batch 7
08/22/2022 22:54:23 MDT Batch 8
08/22/2022 22:54:23 MDT Batch 9
08/22/2022 22:54:23 MDT Batch 10
08/22/2022 22:54:23 MDT Batch 11
08/22/2022 22:54:24 MDT Batch 12
08/22/2022 22:54:24 MDT Batch 13
08/22/2022 22:54:24 MDT Batch 14
08/22/2022 22:54:24 MDT Batch 15
08/22/2022 22:54:24 MDT Batch 16
08/22/2022 22:54:24 MDT Batch 17
08/22/2022 22:54:25 MDT Batch 18
08/22/2022 22:54:25 MDT Batch 19
08/22/2022 22:54:25 MDT Batch 20
08/22/2022 22:54:25 MDT Batch 21
08/22/2022 22:54:25 MDT Batch 22
08/22/2022 22:54:26 MDT Batch 23
08/22/2022 22:54:26 MDT Batch 24
08/22/2022 22:54:26 MDT Batch 25
08/22/2022 22:54:26 MDT Batch 26
08/22/2022 22:54:26 MDT Batch 27
08/22/2022 22:54:27 MDT Batch 28
08/22/2022 22:54:27 MDT Batch 29
08/22/2022 22:54:27 MDT Batch 30
08/22/2022 22:54:27 MDT Batch 31
08/22/2022 22:54:27 MDT Batch 32
08/22/2022 22:54:28 MDT Batch 33
08/22/2022 22:54:28 MDT Batch 34
08/22/2022 22:54:28 MDT Batch 35
08/22/2022 22:54:28 MDT Batch 36
08/22/2022 22:54:28 MDT Batch 37
08/22/2022 22:54:29 MDT Batch 38
08/22/2022 22:54:29 MDT Batch 39
08/22/2022 22:54:29 MDT Batch 40
08/22/2022 22:54:29 MDT Batch 41
08/22/2022 22:54:29 MDT Batch 42
08/22/2022 22:54:30 MDT Batch 43
08/22/2022 22:54:30 MDT Batch 44
