08/22/2022 22:54:24 MDT Started script...
08/22/2022 22:54:24 MDT Device: cpu
08/22/2022 22:54:24 MDT BATCH SIZE: 128
08/22/2022 22:54:24 MDT LR: 0.010000
08/22/2022 22:54:24 MDT Fold 1
08/22/2022 22:54:24 MDT Fold 1; Rep 1
08/22/2022 22:54:24 MDT Data loaded.
08/22/2022 22:54:24 MDT Data loaded.
08/22/2022 22:54:24 MDT Epoch 1
08/22/2022 22:54:24 MDT Batch 1
08/22/2022 22:54:25 MDT Batch 2
08/22/2022 22:54:25 MDT Batch 3
08/22/2022 22:54:25 MDT Batch 4
08/22/2022 22:54:25 MDT Batch 5
08/22/2022 22:54:25 MDT Batch 6
08/22/2022 22:54:25 MDT Batch 7
08/22/2022 22:54:25 MDT Batch 8
08/22/2022 22:54:25 MDT Batch 9
08/22/2022 22:54:25 MDT Batch 10
08/22/2022 22:54:25 MDT Batch 11
08/22/2022 22:54:25 MDT Batch 12
08/22/2022 22:54:25 MDT Batch 13
08/22/2022 22:54:25 MDT Batch 14
08/22/2022 22:54:25 MDT Batch 15
08/22/2022 22:54:25 MDT Batch 16
08/22/2022 22:54:25 MDT Batch 17
08/22/2022 22:54:25 MDT Batch 18
08/22/2022 22:54:25 MDT Batch 19
08/22/2022 22:54:26 MDT Batch 20
08/22/2022 22:54:26 MDT Batch 21
08/22/2022 22:54:26 MDT Batch 22
08/22/2022 22:54:26 MDT Batch 23
08/22/2022 22:54:26 MDT Batch 24
08/22/2022 22:54:26 MDT Batch 25
08/22/2022 22:54:26 MDT Batch 26
08/22/2022 22:54:26 MDT Batch 27
08/22/2022 22:54:26 MDT Batch 28
08/22/2022 22:54:26 MDT Batch 29
08/22/2022 22:54:26 MDT Batch 30
08/22/2022 22:54:26 MDT Batch 31
08/22/2022 22:54:26 MDT Batch 32
08/22/2022 22:54:26 MDT Batch 33
08/22/2022 22:54:26 MDT Batch 34
08/22/2022 22:54:26 MDT Batch 35
08/22/2022 22:54:26 MDT Batch 36
08/22/2022 22:54:26 MDT Batch 37
08/22/2022 22:54:26 MDT Batch 38
08/22/2022 22:54:26 MDT Batch 39
08/22/2022 22:54:26 MDT Batch 40
08/22/2022 22:54:27 MDT Batch 41
08/22/2022 22:54:27 MDT Batch 42
08/22/2022 22:54:27 MDT Batch 43
08/22/2022 22:54:27 MDT Batch 44
08/22/2022 22:54:27 MDT Batch 45
08/22/2022 22:54:28 MDT EPOCH #1: TRAIN AP 0.266486, VAL AP 0.207705, TRAIN TIME 0m 2.534675s, VAL TIME 0m 1.198076s
08/22/2022 22:54:28 MDT Epoch 2
08/22/2022 22:54:28 MDT Batch 1
08/22/2022 22:54:28 MDT Batch 2
08/22/2022 22:54:28 MDT Batch 3
08/22/2022 22:54:28 MDT Batch 4
08/22/2022 22:54:28 MDT Batch 5
08/22/2022 22:54:28 MDT Batch 6
08/22/2022 22:54:28 MDT Batch 7
08/22/2022 22:54:28 MDT Batch 8
08/22/2022 22:54:28 MDT Batch 9
08/22/2022 22:54:28 MDT Batch 10
08/22/2022 22:54:28 MDT Batch 11
08/22/2022 22:54:28 MDT Batch 12
08/22/2022 22:54:29 MDT Batch 13
08/22/2022 22:54:29 MDT Batch 14
08/22/2022 22:54:29 MDT Batch 15
08/22/2022 22:54:29 MDT Batch 16
08/22/2022 22:54:29 MDT Batch 17
08/22/2022 22:54:29 MDT Batch 18
08/22/2022 22:54:29 MDT Batch 19
08/22/2022 22:54:29 MDT Batch 20
08/22/2022 22:54:29 MDT Batch 21
08/22/2022 22:54:29 MDT Batch 22
08/22/2022 22:54:29 MDT Batch 23
08/22/2022 22:54:29 MDT Batch 24
08/22/2022 22:54:29 MDT Batch 25
08/22/2022 22:54:29 MDT Batch 26
08/22/2022 22:54:29 MDT Batch 27
08/22/2022 22:54:29 MDT Batch 28
08/22/2022 22:54:29 MDT Batch 29
08/22/2022 22:54:29 MDT Batch 30
08/22/2022 22:54:29 MDT Batch 31
08/22/2022 22:54:29 MDT Batch 32
08/22/2022 22:54:29 MDT Batch 33
08/22/2022 22:54:29 MDT Batch 34
08/22/2022 22:54:29 MDT Batch 35
08/22/2022 22:54:30 MDT Batch 36
08/22/2022 22:54:30 MDT Batch 37
08/22/2022 22:54:30 MDT Batch 38
08/22/2022 22:54:30 MDT Batch 39
08/22/2022 22:54:30 MDT Batch 40
08/22/2022 22:54:30 MDT Batch 41
08/22/2022 22:54:30 MDT Batch 42
08/22/2022 22:54:30 MDT Batch 43
08/22/2022 22:54:30 MDT Batch 44
08/22/2022 22:54:30 MDT Batch 45
08/22/2022 22:54:31 MDT EPOCH #2: TRAIN AP 0.315887, VAL AP 0.278498, TRAIN TIME 0m 2.025191s, VAL TIME 0m 1.227867s
08/22/2022 22:54:31 MDT Epoch 3
08/22/2022 22:54:31 MDT Batch 1
08/22/2022 22:54:31 MDT Batch 2
08/22/2022 22:54:31 MDT Batch 3
08/22/2022 22:54:31 MDT Batch 4
08/22/2022 22:54:31 MDT Batch 5
08/22/2022 22:54:31 MDT Batch 6
08/22/2022 22:54:31 MDT Batch 7
08/22/2022 22:54:32 MDT Batch 8
08/22/2022 22:54:32 MDT Batch 9
08/22/2022 22:54:32 MDT Batch 10
08/22/2022 22:54:32 MDT Batch 11
08/22/2022 22:54:32 MDT Batch 12
08/22/2022 22:54:32 MDT Batch 13
08/22/2022 22:54:32 MDT Batch 14
08/22/2022 22:54:32 MDT Batch 15
08/22/2022 22:54:32 MDT Batch 16
08/22/2022 22:54:32 MDT Batch 17
08/22/2022 22:54:32 MDT Batch 18
08/22/2022 22:54:32 MDT Batch 19
08/22/2022 22:54:32 MDT Batch 20
08/22/2022 22:54:32 MDT Batch 21
08/22/2022 22:54:32 MDT Batch 22
08/22/2022 22:54:32 MDT Batch 23
08/22/2022 22:54:32 MDT Batch 24
08/22/2022 22:54:32 MDT Batch 25
08/22/2022 22:54:32 MDT Batch 26
08/22/2022 22:54:32 MDT Batch 27
08/22/2022 22:54:32 MDT Batch 28
08/22/2022 22:54:33 MDT Batch 29
08/22/2022 22:54:33 MDT Batch 30
08/22/2022 22:54:33 MDT Batch 31
08/22/2022 22:54:33 MDT Batch 32
08/22/2022 22:54:33 MDT Batch 33
08/22/2022 22:54:33 MDT Batch 34
08/22/2022 22:54:33 MDT Batch 35
08/22/2022 22:54:33 MDT Batch 36
08/22/2022 22:54:33 MDT Batch 37
08/22/2022 22:54:33 MDT Batch 38
08/22/2022 22:54:33 MDT Batch 39
08/22/2022 22:54:33 MDT Batch 40
08/22/2022 22:54:33 MDT Batch 41
08/22/2022 22:54:33 MDT Batch 42
08/22/2022 22:54:33 MDT Batch 43
08/22/2022 22:54:33 MDT Batch 44
08/22/2022 22:54:33 MDT Batch 45
08/22/2022 22:54:35 MDT EPOCH #3: TRAIN AP 0.345955, VAL AP 0.338625, TRAIN TIME 0m 2.154773s, VAL TIME 0m 1.206859s
08/22/2022 22:54:35 MDT Epoch 4
08/22/2022 22:54:35 MDT Batch 1
08/22/2022 22:54:35 MDT Batch 2
08/22/2022 22:54:35 MDT Batch 3
08/22/2022 22:54:35 MDT Batch 4
08/22/2022 22:54:35 MDT Batch 5
08/22/2022 22:54:35 MDT Batch 6
08/22/2022 22:54:35 MDT Batch 7
08/22/2022 22:54:35 MDT Batch 8
08/22/2022 22:54:35 MDT Batch 9
08/22/2022 22:54:35 MDT Batch 10
08/22/2022 22:54:35 MDT Batch 11
